CId,SId,Year,Cost,Num
7,1,2010,2000000,12
22,11,2010,1800000,10
9,17,2010,1800000,10
7,28,2010,2000000,12
3,31,2010,1500000,8
7,33,2010,2000000,12
18,34,2010,1500000,8
17,35,2010,2000000,12
13,41,2010,1800000,10
24,46,2010,1500000,8
25,51,2010,1500000,8
8,52,2010,2000000,12
11,53,2010,1500000,8
30,55,2010,2000000,12
23,58,2010,1800000,10
15,61,2010,2000000,12
26,70,2010,1800000,10
9,73,2010,1800000,10
21,81,2010,1500000,8
30,84,2010,2000000,12
6,94,2010,1500000,8
19,96,2010,2000000,12
29,103,2010,2000000,12
4,107,2010,2000000,12
23,108,2010,1800000,10
30,113,2010,2000000,12
26,115,2010,1800000,10
12,119,2010,1800000,10
12,120,2010,1800000,10
8,135,2010,2000000,12
28,140,2010,1500000,8
7,148,2010,2000000,12
9,150,2010,1800000,10
2,160,2010,2000000,12
20,164,2010,2000000,12
8,166,2010,2000000,12
8,167,2010,2000000,12
19,171,2010,2000000,12
22,179,2010,1800000,10
2,191,2010,2000000,12
26,202,2010,1800000,10
11,208,2010,1500000,8
4,219,2010,2000000,12
7,224,2010,2000000,12
4,225,2010,2000000,12
11,230,2010,1500000,8
24,232,2010,1500000,8
26,233,2010,1800000,10
19,235,2010,2000000,12
11,241,2010,1500000,8
29,246,2010,2000000,12
19,248,2010,2000000,12
20,249,2010,2000000,12
25,259,2010,1500000,8
17,276,2010,2000000,12
12,277,2010,1800000,10
17,280,2010,2000000,12
15,283,2010,2000000,12
15,287,2010,2000000,12
13,289,2010,1800000,10
17,290,2010,2000000,12
19,295,2010,2000000,12
27,300,2010,2000000,12
18,303,2010,1500000,8
25,305,2010,1500000,8
2,308,2010,2000000,12
6,326,2010,1500000,8
26,328,2010,1800000,10
1,332,2010,1800000,10
18,335,2010,1500000,8
12,336,2010,1800000,10
12,346,2010,1800000,10
6,351,2010,1500000,8
4,352,2010,2000000,12
5,354,2010,1500000,8
2,355,2010,2000000,12
19,362,2010,2000000,12
14,366,2010,1500000,8
13,367,2010,1800000,10
3,373,2010,1500000,8
30,374,2010,2000000,12
3,388,2010,1500000,8
2,389,2010,2000000,12
20,390,2010,2000000,12
1,395,2010,1800000,10
12,397,2010,1800000,10
2,403,2010,2000000,12
22,404,2010,1800000,10
16,408,2010,2000000,12
1,415,2010,1800000,10
26,416,2010,1800000,10
27,418,2010,2000000,12
26,419,2010,1800000,10
14,427,2010,1500000,8
5,429,2010,1500000,8
24,438,2010,1500000,8
6,450,2010,1500000,8
27,462,2010,2000000,12
3,466,2010,1500000,8
29,469,2010,2000000,12
1,470,2010,1800000,10
13,472,2010,1800000,10
6,474,2010,1500000,8
22,476,2010,1800000,10
7,479,2010,2000000,12
10,485,2010,1500000,8
19,496,2010,2000000,12
20,497,2010,2000000,12
28,498,2010,1500000,8
10,504,2010,1500000,8
19,510,2010,2000000,12
10,524,2010,1500000,8
10,528,2010,1500000,8
24,529,2010,1500000,8
22,536,2010,1800000,10
23,540,2010,1800000,10
24,544,2010,1500000,8
29,547,2010,2000000,12
9,551,2010,1800000,10
26,558,2010,1800000,10
23,559,2010,1800000,10
25,570,2010,1500000,8
1,574,2010,1800000,10
24,582,2010,1500000,8
15,585,2010,2000000,12
27,587,2010,2000000,12
12,589,2010,1800000,10
7,600,2010,2000000,12
14,602,2010,1500000,8
13,611,2010,1800000,10
29,612,2010,2000000,12
23,620,2010,1800000,10
29,622,2010,2000000,12
20,627,2010,2000000,12
21,632,2010,1500000,8
17,633,2010,2000000,12
23,636,2010,1800000,10
18,641,2010,1500000,8
22,642,2010,1800000,10
4,648,2010,2000000,12
2,657,2010,2000000,12
12,668,2010,1800000,10
28,669,2010,1500000,8
18,674,2010,1500000,8
11,680,2010,1500000,8
14,682,2010,1500000,8
23,695,2010,1800000,10
17,703,2010,2000000,12
4,716,2010,2000000,12
14,718,2010,1500000,8
11,727,2010,1500000,8
7,729,2010,2000000,12
3,734,2010,1500000,8
4,735,2010,2000000,12
17,736,2010,2000000,12
9,742,2010,1800000,10
27,748,2010,2000000,12
1,749,2010,1800000,10
24,751,2010,1500000,8
24,753,2010,1500000,8
27,755,2010,2000000,12
2,757,2010,2000000,12
28,759,2010,1500000,8
10,767,2010,1500000,8
14,778,2010,1500000,8
6,782,2010,1500000,8
4,783,2010,2000000,12
30,786,2010,2000000,12
2,787,2010,2000000,12
1,800,2010,1800000,10
19,802,2010,2000000,12
16,804,2010,2000000,12
19,806,2010,2000000,12
5,812,2010,1500000,8
11,814,2010,1500000,8
9,815,2010,1800000,10
21,816,2010,1500000,8
10,826,2010,1500000,8
6,833,2010,1500000,8
28,842,2010,1500000,8
1,846,2010,1800000,10
10,848,2010,1500000,8
1,853,2010,1800000,10
5,857,2010,1500000,8
28,862,2010,1500000,8
27,865,2010,2000000,12
20,866,2010,2000000,12
16,869,2010,2000000,12
21,871,2010,1500000,8
19,872,2010,2000000,12
3,873,2010,1500000,8
25,888,2010,1500000,8
8,892,2010,2000000,12
22,896,2010,1800000,10
27,900,2010,2000000,12
26,904,2010,1800000,10
8,905,2010,2000000,12
3,909,2010,1500000,8
5,910,2010,1500000,8
29,911,2010,2000000,12
18,917,2010,1500000,8
11,919,2010,1500000,8
29,920,2010,2000000,12
15,934,2010,2000000,12
12,936,2010,1800000,10
16,937,2010,2000000,12
23,951,2010,1800000,10
11,953,2010,1500000,8
1,956,2010,1800000,10
10,959,2010,1500000,8
19,960,2010,2000000,12
7,963,2010,2000000,12
7,966,2010,2000000,12
28,970,2010,1500000,8
30,971,2010,2000000,12
5,976,2010,1500000,8
6,986,2010,1500000,8
11,987,2010,1500000,8
11,989,2010,1500000,8
24,993,2010,1500000,8
24,999,2010,1500000,8
22,1000,2010,1800000,10
2,1004,2010,2000000,12
6,1012,2010,1500000,8
3,1018,2010,1500000,8
22,1026,2010,1800000,10
28,1028,2010,1500000,8
10,1048,2010,1500000,8
11,1054,2010,1500000,8
21,1056,2010,1500000,8
9,1059,2010,1800000,10
9,1063,2010,1800000,10
15,1068,2010,2000000,12
9,1069,2010,1800000,10
23,1075,2010,1800000,10
17,1076,2010,2000000,12
16,1078,2010,2000000,12
30,1079,2010,2000000,12
13,1081,2010,1800000,10
25,1082,2010,1500000,8
10,1083,2010,1500000,8
24,1090,2010,1500000,8
28,1104,2010,1500000,8
3,1107,2010,1500000,8
6,1111,2010,1500000,8
28,1113,2010,1500000,8
4,1115,2010,2000000,12
16,1117,2010,2000000,12
1,1128,2010,1800000,10
10,1130,2010,1500000,8
5,1132,2010,1500000,8
28,1138,2010,1500000,8
28,1139,2010,1500000,8
12,1143,2010,1800000,10
27,1145,2010,2000000,12
23,1153,2010,1800000,10
2,1155,2010,2000000,12
13,1163,2010,1800000,10
18,1164,2010,1500000,8
20,1166,2010,2000000,12
20,1169,2010,2000000,12
24,1179,2010,1500000,8
9,1188,2010,1800000,10
13,1192,2010,1800000,10
8,1197,2010,2000000,12
16,1199,2010,2000000,12
16,1200,2010,2000000,12
8,1201,2010,2000000,12
27,1217,2010,2000000,12
27,1220,2010,2000000,12
23,1221,2010,1800000,10
2,1223,2010,2000000,12
26,1230,2010,1800000,10
7,1233,2010,2000000,12
2,1234,2010,2000000,12
28,1242,2010,1500000,8
6,1243,2010,1500000,8
23,1245,2010,1800000,10
20,1246,2010,2000000,12
28,1247,2010,1500000,8
28,1249,2010,1500000,8
3,1251,2010,1500000,8
29,1252,2010,2000000,12
24,1260,2010,1500000,8
11,1273,2010,1500000,8
8,1282,2010,2000000,12
6,1284,2010,1500000,8
6,1286,2010,1500000,8
30,1288,2010,2000000,12
10,1297,2010,1500000,8
3,1306,2010,1500000,8
15,1312,2010,2000000,12
10,1313,2010,1500000,8
30,1314,2010,2000000,12
30,1340,2010,2000000,12
20,1350,2010,2000000,12
3,1356,2010,1500000,8
12,1358,2010,1800000,10
15,1361,2010,2000000,12
18,1369,2010,1500000,8
2,1373,2010,2000000,12
2,1380,2010,2000000,12
1,1386,2010,1800000,10
16,1395,2010,2000000,12
11,1397,2010,1500000,8
10,1398,2010,1500000,8
1,1400,2010,1800000,10
13,1403,2010,1800000,10
12,1404,2010,1800000,10
30,1407,2010,2000000,12
25,1415,2010,1500000,8
29,1416,2010,2000000,12
5,1425,2010,1500000,8
1,1433,2010,1800000,10
7,1440,2010,2000000,12
21,1441,2010,1500000,8
8,1446,2010,2000000,12
12,1447,2010,1800000,10
23,1449,2010,1800000,10
20,1451,2010,2000000,12
3,1452,2010,1500000,8
4,1454,2010,2000000,12
17,1455,2010,2000000,12
15,1460,2010,2000000,12
29,1468,2010,2000000,12
11,1469,2010,1500000,8
24,1470,2010,1500000,8
29,1471,2010,2000000,12
3,1473,2010,1500000,8
9,1476,2010,1800000,10
28,1477,2010,1500000,8
29,1486,2010,2000000,12
5,1492,2010,1500000,8
27,1493,2010,2000000,12
28,1494,2010,1500000,8
14,1496,2010,1500000,8
23,1505,2010,1800000,10
21,1506,2010,1500000,8
1,1510,2010,1800000,10
10,1515,2010,1500000,8
27,1518,2010,2000000,12
8,1519,2010,2000000,12
8,1525,2010,2000000,12
22,1529,2010,1800000,10
20,1533,2010,2000000,12
13,1539,2010,1800000,10
25,1540,2010,1500000,8
20,1542,2010,2000000,12
19,1553,2010,2000000,12
20,1554,2010,2000000,12
19,1557,2010,2000000,12
25,1565,2010,1500000,8
10,1569,2010,1500000,8
6,1573,2010,1500000,8
16,1579,2010,2000000,12
16,1580,2010,2000000,12
26,1584,2010,1800000,10
20,1589,2010,2000000,12
2,1595,2010,2000000,12
30,1600,2010,2000000,12
10,1603,2010,1500000,8
30,1615,2010,2000000,12
12,1625,2010,1800000,10
16,1626,2010,2000000,12
17,1636,2010,2000000,12
1,1638,2010,1800000,10
19,1656,2010,2000000,12
26,1661,2010,1800000,10
9,1672,2010,1800000,10
25,1675,2010,1500000,8
9,1677,2010,1800000,10
29,1684,2010,2000000,12
22,1686,2010,1800000,10
23,1688,2010,1800000,10
21,1690,2010,1500000,8
28,1692,2010,1500000,8
14,1699,2010,1500000,8
24,1700,2010,1500000,8
1,1701,2010,1800000,10
15,1717,2010,2000000,12
21,1724,2010,1500000,8
17,1726,2010,2000000,12
4,1727,2010,2000000,12
5,1729,2010,1500000,8
6,1730,2010,1500000,8
10,1735,2010,1500000,8
24,1738,2010,1500000,8
25,1740,2010,1500000,8
13,1743,2010,1800000,10
25,1746,2010,1500000,8
22,1749,2010,1800000,10
11,1753,2010,1500000,8
22,1758,2010,1800000,10
14,1760,2010,1500000,8
9,1762,2010,1800000,10
25,1766,2010,1500000,8
7,1773,2010,2000000,12
23,1775,2010,1800000,10
7,1778,2010,2000000,12
26,1782,2010,1800000,10
9,1790,2010,1800000,10
3,1796,2010,1500000,8
25,1797,2010,1500000,8
30,1803,2010,2000000,12
7,1805,2010,2000000,12
13,1811,2010,1800000,10
16,1815,2010,2000000,12
9,1816,2010,1800000,10
8,1820,2010,2000000,12
4,1821,2010,2000000,12
26,1829,2010,1800000,10
14,1830,2010,1500000,8
18,1832,2010,1500000,8
25,1835,2010,1500000,8
4,1839,2010,2000000,12
27,1845,2010,2000000,12
17,1848,2010,2000000,12
5,1851,2010,1500000,8
1,1852,2010,1800000,10
8,1861,2010,2000000,12
7,1864,2010,2000000,12
13,1874,2010,1800000,10
18,1875,2010,1500000,8
30,1878,2010,2000000,12
14,1880,2010,1500000,8
11,1882,2010,1500000,8
22,1890,2010,1800000,10
7,1891,2010,2000000,12
16,1892,2010,2000000,12
24,1906,2010,1500000,8
26,1909,2010,1800000,10
30,1922,2010,2000000,12
17,1928,2010,2000000,12
7,1945,2010,2000000,12
20,1953,2010,2000000,12
16,1957,2010,2000000,12
29,1961,2010,2000000,12
24,1964,2010,1500000,8
10,1967,2010,1500000,8
7,1969,2010,2000000,12
30,1977,2010,2000000,12
20,1980,2010,2000000,12
18,1983,2010,1500000,8
28,1990,2010,1500000,8
4,1995,2010,2000000,12
13,2003,2010,1800000,10
14,2009,2010,1500000,8
17,2022,2010,2000000,12
19,2023,2010,2000000,12
30,2026,2010,2000000,12
16,2030,2010,2000000,12
14,2034,2010,1500000,8
18,2035,2010,1500000,8
14,2037,2010,1500000,8
12,2043,2010,1800000,10
8,2044,2010,2000000,12
18,2051,2010,1500000,8
1,2052,2010,1800000,10
18,2072,2010,1500000,8
5,2073,2010,1500000,8
28,2075,2010,1500000,8
26,2076,2010,1800000,10
22,2077,2010,1800000,10
3,2079,2010,1500000,8
18,2085,2010,1500000,8
22,2086,2010,1800000,10
4,2089,2010,2000000,12
4,2092,2010,2000000,12
19,2095,2010,2000000,12
23,2096,2010,1800000,10
15,2097,2010,2000000,12
3,2102,2010,1500000,8
20,2105,2010,2000000,12
29,2107,2010,2000000,12
2,2115,2010,2000000,12
21,2121,2010,1500000,8
4,2125,2010,2000000,12
6,2136,2010,1500000,8
24,2139,2010,1500000,8
14,2164,2010,1500000,8
28,2172,2010,1500000,8
29,2174,2010,2000000,12
17,2176,2010,2000000,12
21,2192,2010,1500000,8
12,2195,2010,1800000,10
13,2196,2010,1800000,10
25,2197,2010,1500000,8
18,2202,2010,1500000,8
13,2203,2010,1800000,10
4,2204,2010,2000000,12
16,2205,2010,2000000,12
11,2213,2010,1500000,8
25,2223,2010,1500000,8
13,2237,2010,1800000,10
25,2243,2010,1500000,8
12,2244,2010,1800000,10
1,2255,2010,1800000,10
1,2257,2010,1800000,10
21,2258,2010,1500000,8
3,2260,2010,1500000,8
16,2267,2010,2000000,12
6,2269,2010,1500000,8
23,2272,2010,1800000,10
18,2278,2010,1500000,8
20,2281,2010,2000000,12
26,2283,2010,1800000,10
17,2285,2010,2000000,12
6,2286,2010,1500000,8
13,2296,2010,1800000,10
12,2298,2010,1800000,10
17,2303,2010,2000000,12
7,2305,2010,2000000,12
5,2312,2010,1500000,8
18,2313,2010,1500000,8
7,2314,2010,2000000,12
16,2320,2010,2000000,12
24,2322,2010,1500000,8
25,2328,2010,1500000,8
21,2331,2010,1500000,8
22,2335,2010,1800000,10
22,2337,2010,1800000,10
15,2340,2010,2000000,12
21,2343,2010,1500000,8
6,2345,2010,1500000,8
14,2347,2010,1500000,8
3,2348,2010,1500000,8
13,2349,2010,1800000,10
12,2354,2010,1800000,10
4,2363,2010,2000000,12
6,2369,2010,1500000,8
22,2374,2010,1800000,10
6,2379,2010,1500000,8
5,2380,2010,1500000,8
20,2384,2010,2000000,12
13,2390,2010,1800000,10
2,2396,2010,2000000,12
7,2400,2010,2000000,12
12,2405,2010,1800000,10
11,2407,2010,1500000,8
17,2408,2010,2000000,12
8,2411,2010,2000000,12
27,2417,2010,2000000,12
5,2419,2010,1500000,8
4,2422,2010,2000000,12
30,2431,2010,2000000,12
26,2432,2010,1800000,10
6,2436,2010,1500000,8
20,2440,2010,2000000,12
2,2441,2010,2000000,12
23,2444,2010,1800000,10
18,2446,2010,1500000,8
15,2466,2010,2000000,12
14,2471,2010,1500000,8
19,2481,2010,2000000,12
21,2486,2010,1500000,8
21,2488,2010,1500000,8
26,2490,2010,1800000,10
12,2491,2010,1800000,10
2,2493,2010,2000000,12
20,2497,2010,2000000,12
11,2501,2010,1500000,8
10,2509,2010,1500000,8
21,2522,2010,1500000,8
16,2523,2010,2000000,12
24,2533,2010,1500000,8
14,2535,2010,1500000,8
8,2545,2010,2000000,12
30,2550,2010,2000000,12
10,2552,2010,1500000,8
2,2557,2010,2000000,12
6,2560,2010,1500000,8
26,2563,2010,1800000,10
29,2566,2010,2000000,12
22,2572,2010,1800000,10
29,2574,2010,2000000,12
6,2576,2010,1500000,8
10,2580,2010,1500000,8
8,2583,2010,2000000,12
22,2584,2010,1800000,10
23,2597,2010,1800000,10
15,2600,2010,2000000,12
18,2603,2010,1500000,8
22,2605,2010,1800000,10
30,2606,2010,2000000,12
23,2612,2010,1800000,10
3,2613,2010,1500000,8
20,2615,2010,2000000,12
7,2617,2010,2000000,12
30,2619,2010,2000000,12
26,2620,2010,1800000,10
4,2621,2010,2000000,12
17,2624,2010,2000000,12
14,2625,2010,1500000,8
5,2626,2010,1500000,8
17,2631,2010,2000000,12
27,2637,2010,2000000,12
12,2639,2010,1800000,10
20,2643,2010,2000000,12
8,2656,2010,2000000,12
2,2657,2010,2000000,12
12,2658,2010,1800000,10
21,2661,2010,1500000,8
19,2663,2010,2000000,12
14,2664,2010,1500000,8
8,2669,2010,2000000,12
23,2675,2010,1800000,10
9,2678,2010,1800000,10
25,2693,2010,1500000,8
1,2694,2010,1800000,10
27,2696,2010,2000000,12
11,2697,2010,1500000,8
2,2700,2010,2000000,12
30,2701,2010,2000000,12
15,2719,2010,2000000,12
11,2723,2010,1500000,8
17,2725,2010,2000000,12
14,2727,2010,1500000,8
27,2733,2010,2000000,12
20,2742,2010,2000000,12
3,2759,2010,1500000,8
21,2762,2010,1500000,8
26,2764,2010,1800000,10
2,2766,2010,2000000,12
29,2770,2010,2000000,12
10,2771,2010,1500000,8
28,2772,2010,1500000,8
22,2780,2010,1800000,10
7,2783,2010,2000000,12
18,2791,2010,1500000,8
16,2793,2010,2000000,12
8,2812,2010,2000000,12
21,2817,2010,1500000,8
15,2822,2010,2000000,12
15,2823,2010,2000000,12
13,2832,2010,1800000,10
13,2833,2010,1800000,10
30,2845,2010,2000000,12
13,2846,2010,1800000,10
29,2849,2010,2000000,12
18,2850,2010,1500000,8
16,2852,2010,2000000,12
16,2853,2010,2000000,12
27,2855,2010,2000000,12
23,2860,2010,1800000,10
9,2865,2010,1800000,10
25,2866,2010,1500000,8
10,2874,2010,1500000,8
17,2880,2010,2000000,12
9,2889,2010,1800000,10
7,2892,2010,2000000,12
27,2894,2010,2000000,12
5,2899,2010,1500000,8
22,2905,2010,1800000,10
20,2907,2010,2000000,12
29,2908,2010,2000000,12
6,2911,2010,1500000,8
18,2912,2010,1500000,8
9,2923,2010,1800000,10
21,2926,2010,1500000,8
27,2932,2010,2000000,12
27,2936,2010,2000000,12
26,2939,2010,1800000,10
4,2948,2010,2000000,12
6,2950,2010,1500000,8
19,2953,2010,2000000,12
5,2956,2010,1500000,8
21,2963,2010,1500000,8
20,2966,2010,2000000,12
19,2971,2010,2000000,12
1,2972,2010,1800000,10
19,2977,2010,2000000,12
10,2984,2010,1500000,8
22,2985,2010,1800000,10
10,2986,2010,1500000,8
3,2988,2010,1500000,8
8,2992,2010,2000000,12
3,2998,2010,1500000,8
18,3000,2010,1500000,8
18,3005,2010,1500000,8
10,3009,2010,1500000,8
14,3011,2010,1500000,8
4,3017,2010,2000000,12
12,3027,2010,1800000,10
24,3028,2010,1500000,8
28,3038,2010,1500000,8
4,3043,2010,2000000,12
21,3047,2010,1500000,8
22,3056,2010,1800000,10
16,3059,2010,2000000,12
4,3067,2010,2000000,12
3,3073,2010,1500000,8
5,3074,2010,1500000,8
16,3081,2010,2000000,12
29,3084,2010,2000000,12
14,3091,2010,1500000,8
23,3095,2010,1800000,10
17,3103,2010,2000000,12
28,3104,2010,1500000,8
24,3105,2010,1500000,8
15,3108,2010,2000000,12
15,3114,2010,2000000,12
13,3131,2010,1800000,10
14,3137,2010,1500000,8
15,3145,2010,2000000,12
15,3146,2010,2000000,12
5,3148,2010,1500000,8
3,3149,2010,1500000,8
20,3150,2010,2000000,12
15,3163,2010,2000000,12
1,3176,2010,1800000,10
28,3178,2010,1500000,8
